Tweet_ID,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob
1389083250744860672,flmirones,4,13,ORG,0.7355
1389083250744860672,mironews,15,23,MISC,0.9991
1389083253018144768,drjuliosandoval,4,19,PER,0.9996
1389083253018144768,covid19,33,40,MISC,0.9998
1389083253714345985,hans2412,1,9,MISC,0.4081
1389083253714345985,hans,15,19,PER,0.6592
1389083253714345985,eu,80,82,LOC,0.9979
1389083253714345985,san luis potosí,125,140,LOC,0.9999
1389083258403672070,ernestoqa,4,13,PER,0.9855
1389083258403672070,covid19,126,133,MISC,0.9992
1389083258466545671,emergenciassev,4,18,ORG,0.9983
1389083258466545671,policiasevilla,31,45,ORG,0.9977
1389083258466545671,co,136,138,MISC,0.9994
1389083262564421632,andru,4,9,PER,0.9985
1389083262564421632,corre,10,15,PER,0.9997
1389083263197581318,ssalud,4,10,ORG,0.9984
1389083263197581318,vacunas,71,78,MISC,0.9952
1389083263197581318,covid19,86,93,MISC,0.9999
